STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,ord_brth,Birth order,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2016,,121896,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2017,,119690,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2018,,118319,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2019,,117695,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2020,,114350,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2021,,118349,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2022,,114095,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2023,,110785,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2014,,67585,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2015,,65950,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2016,,64984,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2017,,63955,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2018,,62197,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2019,,61538,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2020,,59086,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2021,,58678,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2022,,56596,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BG,Bulgaria,2023,,57197,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BY,Belarus,2014,,118534,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BY,Belarus,2015,,119028,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BY,Belarus,2016,,117779,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BY,Belarus,2017,,102556,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BY,Belarus,2018,,94042,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2014,,85287,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2015,,86559,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2016,,87883,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2017,,87381,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2018,,87851,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2019,,86172,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2020,,85914,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,CH,Switzerland,2021,,89644,,,,,
