country,year,age_group_5,births,population
Croatia,2019,40-44,1430,133711
Croatia,2019,45-49,82,131179
Croatia,2020,15-19,726,92873
Croatia,2020,20-24,4479,107514
Croatia,2020,25-29,10032,107620
Croatia,2020,30-34,12152,118473
Croatia,2020,35-39,6892,132287
Croatia,2020,40-44,1487,133693
Croatia,2020,45-49,69,129823
Croatia,2021,15-19,631,91769
Croatia,2021,20-24,4288,104418
Croatia,2021,25-29,10187,105517
Croatia,2021,30-34,12360,114531
Croatia,2021,35-39,7384,129303
Croatia,2021,40-44,1582,133468
Croatia,2021,45-49,71,130099
Croatia,2022,15-19,655,91419
Croatia,2022,20-24,3940,100652
Croatia,2022,25-29,9625,105028
Croatia,2022,30-34,11425,112008
Croatia,2022,35-39,6592,126250
Croatia,2022,40-44,1552,132665
Croatia,2022,45-49,86,129762
Croatia,2023,15-19,599,91955
Croatia,2023,20-24,3434,97348
Croatia,2023,25-29,9292,106889
Croatia,2023,30-34,10927,109238
Croatia,2023,35-39,6339,123886
Croatia,2023,40-44,1478,132506
Croatia,2023,45-49,94,129754
Cyprus,2015,15-19,127,25812
Cyprus,2015,20-24,825,32101
Cyprus,2015,25-29,2746,35148
Cyprus,2015,30-34,3491,36774
Cyprus,2015,35-39,1615,33735
Cyprus,2015,40-44,326,31980
Cyprus,2015,45-49,34,29898
Cyprus,2016,15-19,150,25004
Cyprus,2016,20-24,876,30942
Cyprus,2016,25-29,2617,34417
Cyprus,2016,30-34,3622,36717
Cyprus,2016,35-39,1809,34969
Cyprus,2016,40-44,335,31963
Cyprus,2016,45-49,38,29805
Cyprus,2017,15-19,161,24274
Cyprus,2017,20-24,870,30259
Cyprus,2017,25-29,2539,33542
Cyprus,2017,30-34,3548,36790
Cyprus,2017,35-39,1730,35366
Cyprus,2017,40-44,337,32373
Cyprus,2017,45-49,39,30347
Cyprus,2018,15-19,190,23639
Cyprus,2018,20-24,866,29097
Cyprus,2018,25-29,2440,33513
Cyprus,2018,30-34,3494,36436
Cyprus,2018,35-39,1902,36371
Cyprus,2018,40-44,387,32540
Cyprus,2018,45-49,40,31354
Cyprus,2019,15-19,164,23228
Cyprus,2019,20-24,894,27863
Cyprus,2019,25-29,2451,33219
Cyprus,2019,30-34,3497,35975
Cyprus,2019,35-39,2054,37233
Cyprus,2019,40-44,428,33344
Cyprus,2019,45-49,48,32322
Cyprus,2020,15-19,186,22816
Cyprus,2020,20-24,902,26951
Cyprus,2020,25-29,2508,32751
Cyprus,2020,30-34,3604,35400
Cyprus,2020,35-39,2180,37289
Cyprus,2020,40-44,464,34590
Cyprus,2020,45-49,62,32856
Cyprus,2021,15-19,151,22573
Cyprus,2021,20-24,879,26588
Cyprus,2021,25-29,2505,33220
Cyprus,2021,30-34,3869,36399
Cyprus,2021,35-39,2305,38519
Cyprus,2021,40-44,524,36171
Cyprus,2021,45-49,55,33170
Cyprus,2022,15-19,187,22612
Cyprus,2022,20-24,965,26817
Cyprus,2022,25-29,2497,33931
Cyprus,2022,30-34,3621,37235
Cyprus,2022,35-39,2275,39703
Cyprus,2022,40-44,583,37750
Cyprus,2022,45-49,54,33933
Cyprus,2023,15-19,171,22534
Cyprus,2023,20-24,921,25995
Cyprus,2023,25-29,2504,33325
Cyprus,2023,30-34,3626,37862
Cyprus,2023,35-39,2324,40348
Cyprus,2023,40-44,577,39001
Cyprus,2023,45-49,99,34406
Czechia,2015,15-19,2606,225919
Czechia,2015,20-24,13487,304955
Czechia,2015,25-29,32843,339938
Czechia,2015,30-34,38285,363091
Czechia,2015,35-39,19847,446232
Czechia,2015,40-44,3531,407714
Czechia,2015,45-49,139,337971
Czechia,2016,15-19,2623,223047
Czechia,2016,20-24,13792,288396
Czechia,2016,25-29,33408,337260
Czechia,2016,30-34,38862,357348
Czechia,2016,35-39,20015,429673
Czechia,2016,40-44,3780,428507
Czechia,2016,45-49,160,340118
Czechia,2017,15-19,2644,223242
Czechia,2017,20-24,13382,270493
Czechia,2017,25-29,34530,335210
Czechia,2017,30-34,39442,354183
Czechia,2017,35-39,20125,411784
Czechia,2017,40-44,4086,444616
Czechia,2017,45-49,180,347702
Czechia,2018,15-19,2429,224694
Czechia,2018,20-24,12796,256505
Czechia,2018,25-29,34571,330923
Czechia,2018,30-34,39505,350913
Czechia,2018,35-39,20020,396143
Czechia,2018,40-44,4444,454608
Czechia,2018,45-49,247,361163
Czechia,2019,15-19,2261,227173
Czechia,2019,20-24,11855,242645
Czechia,2019,25-29,34619,325537
Czechia,2019,30-34,39047,351422
Czechia,2019,35-39,19660,380714
Czechia,2019,40-44,4458,456041
Czechia,2019,45-49,298,382802
Czechia,2020,15-19,2159,232007
Czechia,2020,20-24,11609,234796
Czechia,2020,25-29,33575,316086
Czechia,2020,30-34,38547,349803
Czechia,2020,35-39,19510,368149
Czechia,2020,40-44,4476,448510
Czechia,2020,45-49,301,408110
Czechia,2021,15-19,1923,236771
Czechia,2021,20-24,10954,229148
Czechia,2021,25-29,33325,290869
Czechia,2021,30-34,40478,330035
Czechia,2021,35-39,20268,346411
Czechia,2021,40-44,4469,418833
Czechia,2021,45-49,348,421258
Czechia,2022,15-19,1857,244524
Czechia,2022,20-24,10429,231465
Czechia,2022,25-29,29553,276345
Czechia,2022,30-34,36333,330918
Czechia,2022,35-39,18392,344606
Czechia,2022,40-44,4365,401338
Czechia,2022,45-49,338,437496
Czechia,2023,15-19,1712,271057
Czechia,2023,20-24,9558,249367
Czechia,2023,25-29,25965,279105
Czechia,2023,30-34,32963,345982
Czechia,2023,35-39,16701,361843
Czechia,2023,40-44,3871,403449
Czechia,2023,45-49,355,461451
Denmark,2015,15-19,583,171815
