country,year,age_group_5,births,population
Ireland,2021,30-34,21045,170131
Ireland,2021,35-39,19591,199667
Ireland,2021,40-44,4804,204621
Ireland,2021,45-49,274,184515
Ireland,2022,15-19,540,163773
Ireland,2022,20-24,3846,152891
Ireland,2022,25-29,8282,148797
Ireland,2022,30-34,17508,172143
Ireland,2022,35-39,18142,199839
Ireland,2022,40-44,5637,210937
Ireland,2022,45-49,405,187851
Ireland,2023,15-19,511,166905
Ireland,2023,20-24,3582,154524
Ireland,2023,25-29,8301,154600
Ireland,2023,30-34,18105,174552
Ireland,2023,35-39,17835,201462
Ireland,2023,40-44,5628,219167
Ireland,2023,45-49,455,194615
Italy,2015,15-19,7206,1375817
Italy,2015,20-24,43015,1492252
Italy,2015,25-29,108649,1603227
Italy,2015,30-34,162964,1770936
Italy,2015,35-39,123663,2098939
Italy,2015,40-44,37066,2401153
Italy,2015,45-49,2904,2488041
Italy,2016,15-19,6812,1381697
Italy,2016,20-24,40738,1463363
Italy,2016,25-29,105910,1588625
Italy,2016,30-34,159618,1735345
Italy,2016,35-39,119749,2010558
Italy,2016,40-44,37055,2375375
Italy,2016,45-49,3204,2467810
Italy,2017,15-19,6130,1381774
Italy,2017,20-24,38233,1439874
Italy,2017,25-29,103072,1580570
Italy,2017,30-34,153471,1696951
Italy,2017,35-39,116859,1935388
Italy,2017,40-44,36524,2323658
Italy,2017,45-49,3468,2451343
Italy,2018,15-19,5822,1381032
Italy,2018,20-24,35842,1418745
Italy,2018,25-29,97779,1573876
Italy,2018,30-34,149118,1660282
Italy,2018,35-39,111820,1876027
Italy,2018,40-44,35418,2261022
Italy,2018,45-49,3533,2431373
Italy,2019,15-19,5098,1382435
Italy,2019,20-24,33228,1409999
Italy,2019,25-29,92866,1548193
Italy,2019,30-34,143416,1642927
Italy,2019,35-39,108113,1821377
Italy,2019,40-44,33397,2190571
Italy,2019,45-49,3509,2412294
Italy,2020,15-19,4521,1385591
Italy,2020,20-24,31541,1406868
Italy,2020,25-29,88222,1523050
Italy,2020,30-34,140438,1623692
Italy,2020,35-39,104621,1779210
Italy,2020,40-44,31688,2098266
Italy,2020,45-49,3420,2392965
Italy,2021,15-19,3981,1380198
Italy,2021,20-24,29226,1407840
Italy,2021,25-29,83738,1479314
Italy,2021,30-34,140643,1592259
Italy,2021,35-39,107767,1735723
Italy,2021,40-44,31356,2007068
Italy,2021,45-49,3119,2363044
Italy,2022,15-19,3876,1384080
Italy,2022,20-24,28553,1390957
Italy,2022,25-29,81911,1450727
Italy,2022,30-34,140228,1580224
Italy,2022,35-39,103407,1695383
Italy,2022,40-44,31011,1932574
Italy,2022,45-49,3845,2316007
Italy,2023,15-19,3813,1395983
Italy,2023,20-24,26445,1400261
Italy,2023,25-29,78118,1441382
Italy,2023,30-34,135402,1587279
Italy,2023,35-39,101717,1671762
Italy,2023,40-44,30126,1885417
Italy,2023,45-49,3745,2265326
Latvia,2015,15-19,760,42522
Latvia,2015,20-24,3720,60594
Latvia,2015,25-29,7196,70313
Latvia,2015,30-34,6259,66407
Latvia,2015,35-39,3204,64791
Latvia,2015,40-44,782,70049
Latvia,2015,45-49,45,69573
Latvia,2016,15-19,646,41994
Latvia,2016,20-24,3369,55017
Latvia,2016,25-29,7249,69091
Latvia,2016,30-34,6494,66988
Latvia,2016,35-39,3324,63463
Latvia,2016,40-44,826,68868
Latvia,2016,45-49,45,69529
Latvia,2017,15-19,621,41948
Latvia,2017,20-24,2967,49778
Latvia,2017,25-29,6699,66722
Latvia,2017,30-34,6269,67752
Latvia,2017,35-39,3320,62435
Latvia,2017,40-44,895,67002
Latvia,2017,45-49,45,69284
Latvia,2018,15-19,520,42491
Latvia,2018,20-24,2429,44971
Latvia,2018,25-29,6110,63823
Latvia,2018,30-34,6173,68269
Latvia,2018,35-39,3199,62091
Latvia,2018,40-44,825,65447
Latvia,2018,45-49,52,68797
Latvia,2019,15-19,546,43386
Latvia,2019,20-24,2220,41851
Latvia,2019,25-29,5676,59947
Latvia,2019,30-34,6083,67587
Latvia,2019,35-39,3343,62978
Latvia,2019,40-44,863,63991
Latvia,2019,45-49,46,68254
Latvia,2020,15-19,462,43651
Latvia,2020,20-24,2156,40196
Latvia,2020,25-29,4940,55842
Latvia,2020,30-34,5875,66589
Latvia,2020,35-39,3232,63832
Latvia,2020,40-44,821,62662
Latvia,2020,45-49,52,67749
Latvia,2021,15-19,439,44082
Latvia,2021,20-24,1865,39983
Latvia,2021,25-29,4951,51096
Latvia,2021,30-34,5923,66019
Latvia,2021,35-39,3356,64584
Latvia,2021,40-44,823,61455
Latvia,2021,45-49,52,66825
Latvia,2022,15-19,405,45183
Latvia,2022,20-24,1875,40144
Latvia,2022,25-29,4048,46690
Latvia,2022,30-34,5389,64057
Latvia,2022,35-39,3361,65781
Latvia,2022,40-44,808,60805
Latvia,2022,45-49,56,65253
Latvia,2023,15-19,374,47557
Latvia,2023,20-24,1736,41465
Latvia,2023,25-29,3445,43422
Latvia,2023,30-34,4879,62874
Latvia,2023,35-39,3165,68317
Latvia,2023,40-44,827,62116
Latvia,2023,45-49,52,64993
Netherlands,2015,15-19,1570,488710
Netherlands,2015,20-24,15500,526710
Netherlands,2015,25-29,52547,521274
Netherlands,2015,30-34,65172,504238
Netherlands,2015,35-39,30121,501857
Netherlands,2015,40-44,5330,590046
Netherlands,2015,45-49,248,638599
Netherlands,2016,15-19,1492,497002
Netherlands,2016,20-24,14805,524926
Netherlands,2016,25-29,52996,530212
Netherlands,2016,30-34,66101,506010
Netherlands,2016,35-39,31266,505063
Netherlands,2016,40-44,5557,562364
Netherlands,2016,45-49,285,640395
Netherlands,2017,15-19,1410,505117
Netherlands,2017,20-24,13809,523839
Netherlands,2017,25-29,51473,538064
Netherlands,2017,30-34,66095,512458
Netherlands,2017,35-39,31183,509522
Netherlands,2017,40-44,5515,539491
Netherlands,2017,45-49,317,639328
Netherlands,2018,15-19,1323,511180
Netherlands,2018,20-24,13298,525964
Netherlands,2018,25-29,50162,545838
Netherlands,2018,30-34,66648,522235
Netherlands,2018,35-39,31110,512431
Netherlands,2018,40-44,5635,521589
Netherlands,2018,45-49,316,634635
Netherlands,2019,15-19,1259,513715
Netherlands,2019,20-24,12708,531643
Netherlands,2019,25-29,49747,552792
Netherlands,2019,30-34,67749,533531
Netherlands,2019,35-39,32033,514558
Netherlands,2019,40-44,5826,514928
Netherlands,2019,45-49,322,619179
Netherlands,2020,15-19,1194,512930
Netherlands,2020,20-24,11952,538920
Netherlands,2020,25-29,48295,560366
Netherlands,2020,30-34,68813,545437
Netherlands,2020,35-39,32166,520631
Netherlands,2020,40-44,5948,512586
Netherlands,2020,45-49,278,595627
Netherlands,2021,15-19,1022,504139
Netherlands,2021,20-24,11789,544175
Netherlands,2021,25-29,50212,557372
Netherlands,2021,30-34,74890,556062
Netherlands,2021,35-39,34767,523777
Netherlands,2021,40-44,6427,517454
Netherlands,2021,45-49,303,569595
Netherlands,2022,15-19,1075,501112
Netherlands,2022,20-24,11843,557933
Netherlands,2022,25-29,46122,557569
Netherlands,2022,30-34,69187,565526
Netherlands,2022,35-39,32834,531752
Netherlands,2022,40-44,6097,522737
Netherlands,2022,45-49,315,547531
Netherlands,2023,15-19,980,500321
Netherlands,2023,20-24,11492,576119
Netherlands,2023,25-29,44235,568432
Netherlands,2023,30-34,68194,582378
Netherlands,2023,35-39,33079,549554
Netherlands,2023,40-44,6133,532357
Netherlands,2023,45-49,335,534934
Norway,2015,15-19,725,158278
Norway,2015,20-24,7034,167257
Norway,2015,25-29,19227,173546
Norway,2015,30-34,19788,167907
Norway,2015,35-39,9901,165215
Norway,2015,40-44,1995,181192
Norway,2015,45-49,136,180774
Norway,2016,15-19,612,158463
Norway,2016,20-24,6556,166015
Norway,2016,25-29,19241,178175
Norway,2016,30-34,20418,169946
Norway,2016,35-39,9836,165634
Norway,2016,40-44,2077,179503
Norway,2016,45-49,133,182590
Norway,2017,15-19,467,157060
Norway,2017,20-24,5741,165743
Norway,2017,25-29,18682,180859
Norway,2017,30-34,20057,172234
Norway,2017,35-39,9515,167065
Norway,2017,40-44,2025,176108
Norway,2017,45-49,133,184418
Norway,2018,15-19,395,155784
Norway,2018,20-24,5381,165391
Norway,2018,25-29,17718,182022
Norway,2018,30-34,20184,174716
Norway,2018,35-39,9395,169679
Norway,2018,40-44,1882,172196
Norway,2018,45-49,147,185474
Norway,2019,15-19,350,155334
Norway,2019,20-24,4742,164895
Norway,2019,25-29,17007,181578
Norway,2019,30-34,20453,178708
Norway,2019,35-39,9740,170931
Norway,2019,40-44,2032,170461
Norway,2019,45-49,156,184354
Norway,2020,15-19,254,154904
Norway,2020,20-24,4180,164356
Norway,2020,25-29,16232,181225
Norway,2020,30-34,20433,183172
Norway,2020,35-39,9740,172955
Norway,2020,40-44,1989,168825
Norway,2020,45-49,135,183317
Norway,2021,15-19,261,154172
Norway,2021,20-24,3949,163240
Norway,2021,25-29,16755,178586
Norway,2021,30-34,22563,186717
Norway,2021,35-39,10314,174068
Norway,2021,40-44,2075,168819
Norway,2021,45-49,135,181392
Norway,2022,15-19,218,155502
Norway,2022,20-24,3507,161705
Norway,2022,25-29,15256,178164
Norway,2022,30-34,20545,189243
Norway,2022,35-39,9765,176151
Norway,2022,40-44,2026,169998
Norway,2022,45-49,152,177883
Norway,2023,15-19,230,158536
Norway,2023,20-24,3574,162029
Norway,2023,25-29,14607,179424
Norway,2023,30-34,21097,193166
Norway,2023,35-39,10229,181397
Norway,2023,40-44,2051,174403
Norway,2023,45-49,178,175545
Poland,2015,15-19,11975,987921
Poland,2015,20-24,57107,1228768
Poland,2015,25-29,123994,1409281
Poland,2015,30-34,119140,1549098
Poland,2015,35-39,47972,1471216
Poland,2015,40-44,8725,1280761
Poland,2015,45-49,336,1139114
Poland,2016,15-19,11272,957291
Poland,2016,20-24,55770,1176116
Poland,2016,25-29,126651,1368122
Poland,2016,30-34,126194,1546525
Poland,2016,35-39,52316,1488219
Poland,2016,40-44,9658,1325518
Poland,2016,45-49,344,1145043
Poland,2017,15-19,10032,929001
Poland,2017,20-24,55928,1122924
Poland,2017,25-29,132464,1338299
Poland,2017,30-34,134904,1536396
Poland,2017,35-39,57563,1490899
Poland,2017,40-44,10642,1372962
Poland,2017,45-49,397,1163060
Poland,2018,15-19,9185,901987
Poland,2018,20-24,51745,1075931
Poland,2018,25-29,127208,1305853
Poland,2018,30-34,128762,1501991
Poland,2018,35-39,59546,1507334
Poland,2018,40-44,11210,1408898
Poland,2018,45-49,470,1191440
Poland,2019,15-19,8242,882368
Poland,2019,20-24,47792,1030139
Poland,2019,25-29,121881,1268623
Poland,2019,30-34,123784,1454041
Poland,2019,35-39,61004,1534251
Poland,2019,40-44,11747,1438016
Poland,2019,45-49,457,1228360
Poland,2020,15-19,7080,870611
Poland,2020,20-24,42754,988115
Poland,2020,25-29,115366,1229908
Poland,2020,30-34,117498,1407779
Poland,2020,35-39,60082,1544475
Poland,2020,40-44,11989,1464473
Poland,2020,45-49,491,1271175
Poland,2021,15-19,5906,834686
Poland,2021,20-24,38054,937278
Poland,2021,25-29,105800,1125502
Poland,2021,30-34,112339,1306755
Poland,2021,35-39,57027,1495129
Poland,2021,40-44,11780,1452917
Poland,2021,45-49,563,1295230
Poland,2022,15-19,5228,835206
Poland,2022,20-24,33721,912433
Poland,2022,25-29,97018,1080017
Poland,2022,30-34,104356,1275072
Poland,2022,35-39,52874,1480897
Poland,2022,40-44,11320,1451097
Poland,2022,45-49,547,1340433
Poland,2023,15-19,4663,852400
Poland,2023,20-24,28482,886902
Poland,2023,25-29,84607,1040764
Poland,2023,30-34,94741,1243677
Poland,2023,35-39,48284,1444063
Poland,2023,40-44,11027,1464119
Poland,2023,45-49,589,1375562
Portugal,2015,15-19,2251,269844
Portugal,2015,20-24,8717,273792
Portugal,2015,25-29,19087,280615
Portugal,2015,30-34,30126,342353
Portugal,2015,35-39,20561,406998
Portugal,2015,40-44,4502,413529
Portugal,2015,45-49,201,394312
Portugal,2016,15-19,2165,273897
Portugal,2016,20-24,8955,269683
Portugal,2016,25-29,18783,276132
Portugal,2016,30-34,29769,327097
Portugal,2016,35-39,21765,395267
Portugal,2016,40-44,5354,418601
Portugal,2016,45-49,276,393356
Portugal,2017,15-19,2131,272722
Portugal,2017,20-24,8764,265452
Portugal,2017,25-29,18914,273030
Portugal,2017,30-34,28668,313291
Portugal,2017,35-39,21626,379772
Portugal,2017,40-44,5712,421155
Portugal,2017,45-49,277,395600
Portugal,2018,15-19,1993,271231
Portugal,2018,20-24,8676,264264
Portugal,2018,25-29,19082,272700
Portugal,2018,30-34,28676,300480
Portugal,2018,35-39,22146,366537
Portugal,2018,40-44,6016,421040
Portugal,2018,45-49,370,399477
Portugal,2019,15-19,2048,269595
Portugal,2019,20-24,8844,264410
Portugal,2019,25-29,18695,272749
Portugal,2019,30-34,28160,291945
Portugal,2019,35-39,22075,356206
Portugal,2019,40-44,6315,415838
Portugal,2019,45-49,386,403636
Portugal,2020,15-19,1733,264830
Portugal,2020,20-24,8412,268973
Portugal,2020,25-29,18753,271704
Portugal,2020,30-34,27110,285651
Portugal,2020,35-39,21691,348094
Portugal,2020,40-44,6316,406319
Portugal,2020,45-49,451,409864
Portugal,2021,15-19,1483,259495
Portugal,2021,20-24,7546,273992
Portugal,2021,25-29,17233,269282
Portugal,2021,30-34,26384,282818
Portugal,2021,35-39,20160,335305
Portugal,2021,40-44,6235,397624
Portugal,2021,45-49,485,415592
Portugal,2022,15-19,1570,258334
Portugal,2022,20-24,8173,274290
Portugal,2022,25-29,18525,267982
Portugal,2022,30-34,27613,282569
Portugal,2022,35-39,20883,324357
Portugal,2022,40-44,6330,385101
Portugal,2022,45-49,526,420100
Portugal,2023,15-19,1623,257247
Portugal,2023,20-24,8658,276242
Portugal,2023,25-29,19522,271650
Portugal,2023,30-34,28458,288366
Portugal,2023,35-39,20426,318264
Portugal,2023,40-44,6353,377363
Portugal,2023,45-49,601,425152
Slovakia,2015,15-19,3414,142218
Slovakia,2015,20-24,8781,179737
Slovakia,2015,25-29,16663,202244
Slovakia,2015,30-34,17235,213351
Slovakia,2015,35-39,8010,223380
Slovakia,2015,40-44,1410,197900
Slovakia,2015,45-49,38,176337
Slovakia,2016,15-19,3592,139214
Slovakia,2016,20-24,8946,171326
Slovakia,2016,25-29,17194,198001
Slovakia,2016,30-34,17800,212596
Slovakia,2016,35-39,8429,221954
Slovakia,2016,40-44,1483,205362
Slovakia,2016,45-49,61,175144
Slovakia,2017,15-19,3555,135190
Slovakia,2017,20-24,8860,162478
Slovakia,2017,25-29,17269,194699
Slovakia,2017,30-34,18085,210544
Slovakia,2017,35-39,8535,220048
Slovakia,2017,40-44,1579,212237
Slovakia,2017,45-49,43,176142
Slovakia,2018,15-19,3431,131573
Slovakia,2018,20-24,8649,154985
Slovakia,2018,25-29,17011,190512
Slovakia,2018,30-34,18100,208298
Slovakia,2018,35-39,8693,217426
Slovakia,2018,40-44,1656,217047
Slovakia,2018,45-49,60,180905
Slovakia,2019,15-19,3452,129025
Slovakia,2019,20-24,8361,147404
Slovakia,2019,25-29,16734,186094
Slovakia,2019,30-34,17870,205461
Slovakia,2019,35-39,8775,214621
Slovakia,2019,40-44,1753,219875
Slovakia,2019,45-49,70,188352
Slovakia,2020,15-19,3296,127805
Slovakia,2020,20-24,8225,142469
Slovakia,2020,25-29,16672,179921
Slovakia,2020,30-34,17751,201459
Slovakia,2020,35-39,8714,211404
Slovakia,2020,40-44,1847,221220
Slovakia,2020,45-49,96,196092
Slovakia,2021,15-19,3308,127412
Slovakia,2021,20-24,8187,139514
Slovakia,2021,25-29,16103,171583
Slovakia,2021,30-34,17978,197417
Slovakia,2021,35-39,9005,210774
Slovakia,2021,40-44,1850,219935
Slovakia,2021,45-49,83,203524
Slovakia,2022,15-19,3169,127005
Slovakia,2022,20-24,7517,134313
Slovakia,2022,25-29,15273,161436
Slovakia,2022,30-34,16411,192704
Slovakia,2022,35-39,8405,207288
Slovakia,2022,40-44,1752,216536
Slovakia,2022,45-49,91,210160
Slovakia,2023,15-19,3153,128811
Slovakia,2023,20-24,7046,130403
Slovakia,2023,25-29,13707,153956
Slovakia,2023,30-34,15043,188455
Slovakia,2023,35-39,7747,204950
Slovakia,2023,40-44,1809,213930
Slovakia,2023,45-49,79,214450
Slovenia,2015,15-19,208,46009
Slovenia,2015,20-24,2153,52520
Slovenia,2015,25-29,6886,63744
Slovenia,2015,30-34,7476,71193
Slovenia,2015,35-39,3285,74644
Slovenia,2015,40-44,606,70750
Slovenia,2015,45-49,23,75040
Slovenia,2016,15-19,188,45747
Slovenia,2016,20-24,2012,50909
Slovenia,2016,25-29,6707,61681
Slovenia,2016,30-34,7350,69251
Slovenia,2016,35-39,3387,74868
Slovenia,2016,40-44,665,71870
Slovenia,2016,45-49,33,72923
Slovenia,2017,15-19,181,45227
Slovenia,2017,20-24,2104,49585
Slovenia,2017,25-29,6471,59638
Slovenia,2017,30-34,7309,67211
Slovenia,2017,35-39,3442,74185
Slovenia,2017,40-44,696,73121
Slovenia,2017,45-49,34,71308
Slovenia,2018,15-19,172,44887
Slovenia,2018,20-24,2074,48852
Slovenia,2018,25-29,6062,56520
Slovenia,2018,30-34,7056,65813
Slovenia,2018,35-39,3502,73430
Slovenia,2018,40-44,674,73492
Slovenia,2018,45-49,39,70309
Slovenia,2019,15-19,206,44775
Slovenia,2019,20-24,2020,48343
Slovenia,2019,25-29,5826,54321
Slovenia,2019,30-34,6885,65109
Slovenia,2019,35-39,3597,72543
Slovenia,2019,40-44,756,74099
Slovenia,2019,45-49,32,70581
Slovenia,2020,15-19,192,45339
Slovenia,2020,20-24,1954,47875
Slovenia,2020,25-29,5773,53130
Slovenia,2020,30-34,6739,63626
Slovenia,2020,35-39,3340,71547
Slovenia,2020,40-44,733,75045
Slovenia,2020,45-49,30,70916
Slovenia,2021,15-19,158,45497
Slovenia,2021,20-24,1886,48158
Slovenia,2021,25-29,5916,52345
Slovenia,2021,30-34,6908,62333
Slovenia,2021,35-39,3372,70219
Slovenia,2021,40-44,711,75862
Slovenia,2021,45-49,29,72516
Slovenia,2022,15-19,155,46329
Slovenia,2022,20-24,1835,47807
Slovenia,2022,25-29,5503,51436
Slovenia,2022,30-34,6206,60942
Slovenia,2022,35-39,3204,68620
Slovenia,2022,40-44,679,75295
Slovenia,2022,45-49,43,73995
Slovenia,2023,15-19,165,48046
Slovenia,2023,20-24,1729,47937
Slovenia,2023,25-29,5477,51565
Slovenia,2023,30-34,5818,58782
Slovenia,2023,35-39,3037,68192
Slovenia,2023,40-44,722,75172
Slovenia,2023,45-49,37,74885
Spain,2015,15-19,8126,1043560
Spain,2015,20-24,29486,1138729
Spain,2015,25-29,74734,1322565
Spain,2015,30-34,148211,1630252
Spain,2015,35-39,125162,1938940
Spain,2015,40-44,30485,1906459
Spain,2015,45-49,2010,1828525
Spain,2016,15-19,7843,1057457
Spain,2016,20-24,28541,1117821
Spain,2016,25-29,72368,1284736
Spain,2016,30-34,141470,1554146
Spain,2016,35-39,124054,1899182
Spain,2016,40-44,31867,1925856
Spain,2016,45-49,2348,1837284
Spain,2017,15-19,7644,1074141
Spain,2017,20-24,27862,1106730
Spain,2017,25-29,68440,1258853
Spain,2017,30-34,132442,1492238
Spain,2017,35-39,119192,1843583
Spain,2017,40-44,32766,1947743
Spain,2017,45-49,2645,1851505
Spain,2018,15-19,6925,1091722
Spain,2018,20-24,26852,1106302
Spain,2018,25-29,64632,1253271
Spain,2018,30-34,123385,1443297
Spain,2018,35-39,112731,1787361
Spain,2018,40-44,33252,1959078
Spain,2018,45-49,2791,1864133
Spain,2019,15-19,6819,1124232
Spain,2019,20-24,27125,1114920
Spain,2019,25-29,62462,1255072
Spain,2019,30-34,117942,1418268
Spain,2019,35-39,108545,1727633
Spain,2019,40-44,32752,1972034
Spain,2019,45-49,2838,1886744
Spain,2020,15-19,6232,1153303
Spain,2020,20-24,26175,1142005
Spain,2020,25-29,59864,1260341
Spain,2020,30-34,111505,1405365
Spain,2020,35-39,101990,1680115
Spain,2020,40-44,31852,1965812
Spain,2020,45-49,2776,1922199
Spain,2021,15-19,5460,1172020
Spain,2021,20-24,23749,1157252
Spain,2021,25-29,56832,1250627
Spain,2021,30-34,112693,1385931
Spain,2021,35-39,101952,1622354
Spain,2021,40-44,32768,1941058
Spain,2021,45-49,3086,1950833
Spain,2022,15-19,5630,1199157
Spain,2022,20-24,24385,1171240
Spain,2022,25-29,55961,1238078
Spain,2022,30-34,107807,1363539
Spain,2022,35-39,98710,1565383
Spain,2022,40-44,32412,1891265
Spain,2022,45-49,3469,1976812
Spain,2023,15-19,5435,1241369
Spain,2023,20-24,25007,1213886
Spain,2023,25-29,55455,1264702
Spain,2023,30-34,105470,1389393
Spain,2023,35-39,93897,1547745
Spain,2023,40-44,31027,1863161
Spain,2023,45-49,3232,2008433
Sweden,2015,15-19,1124,254181
Sweden,2015,20-24,14048,326946
Sweden,2015,25-29,36525,320517
Sweden,2015,30-34,38273,297018
Sweden,2015,35-39,20046,296259
Sweden,2015,40-44,4544,320549
Sweden,2015,45-49,278,329661
Sweden,2016,15-19,1120,251450
Sweden,2016,20-24,13526,318250
Sweden,2016,25-29,37937,333430
Sweden,2016,30-34,38968,301065
Sweden,2016,35-39,20764,297907
Sweden,2016,40-44,4792,321076
Sweden,2016,45-49,289,326022
Sweden,2017,15-19,1109,253037
Sweden,2017,20-24,12441,309158
Sweden,2017,25-29,37178,346470
Sweden,2017,30-34,39039,310855
Sweden,2017,35-39,20522,301728
Sweden,2017,40-44,4772,318411
Sweden,2017,45-49,320,324719
Sweden,2018,15-19,1105,258776
Sweden,2018,20-24,11789,297384
Sweden,2018,25-29,37393,356635
Sweden,2018,30-34,40199,321958
Sweden,2018,35-39,20519,306649
Sweden,2018,40-44,4483,315024
Sweden,2018,45-49,308,323818
Sweden,2019,15-19,911,265711
Sweden,2019,20-24,10757,286425
Sweden,2019,25-29,36217,360374
Sweden,2019,30-34,40802,335686
Sweden,2019,35-39,20688,312107
Sweden,2019,40-44,4717,311921
Sweden,2019,45-49,394,324649
Sweden,2020,15-19,784,272837
Sweden,2020,20-24,9568,277075
Sweden,2020,25-29,35081,359711
Sweden,2020,30-34,41933,348710
Sweden,2020,35-39,20656,316703
Sweden,2020,40-44,4672,309321
Sweden,2020,45-49,348,328884
Sweden,2021,15-19,685,278531
Sweden,2021,20-24,8804,271966
Sweden,2021,25-29,33075,348382
Sweden,2021,30-34,44931,361033
Sweden,2021,35-39,21565,320188
Sweden,2021,40-44,4888,310620
Sweden,2021,45-49,299,328772
Sweden,2022,15-19,580,286409
Sweden,2022,20-24,7780,271045
Sweden,2022,25-29,29299,336224
Sweden,2022,30-34,41628,371415
Sweden,2022,35-39,20334,327998
Sweden,2022,40-44,4696,312994
Sweden,2022,45-49,367,324931
Sweden,2023,15-19,541,292308
Sweden,2023,20-24,7184,275136
Sweden,2023,25-29,26505,323678
Sweden,2023,30-34,40623,379866
Sweden,2023,35-39,20277,337476
Sweden,2023,40-44,4522,316375
Sweden,2023,45-49,352,320776
Switzerland,2015,15-19,562,213793
Switzerland,2015,20-24,6879,244792
Switzerland,2015,25-29,21991,273143
Switzerland,2015,30-34,33028,287842
Switzerland,2015,35-39,19563,281586
Switzerland,2015,40-44,4223,296446
Switzerland,2015,45-49,283,327745
Switzerland,2016,15-19,605,213255
Switzerland,2016,20-24,6633,243351
Switzerland,2016,25-29,22191,277273
Switzerland,2016,30-34,33691,291671
Switzerland,2016,35-39,20149,287040
Switzerland,2016,40-44,4296,292776
Switzerland,2016,45-49,292,324544
Switzerland,2017,15-19,503,210497
Switzerland,2017,20-24,6179,241449
Switzerland,2017,25-29,22052,280238
Switzerland,2017,30-34,33543,294810
Switzerland,2017,35-39,20446,292197
Switzerland,2017,40-44,4309,289994
Switzerland,2017,45-49,323,320405
Switzerland,2018,15-19,481,208129
Switzerland,2018,20-24,5783,237270
Switzerland,2018,25-29,21634,282451
Switzerland,2018,30-34,34008,296290
Switzerland,2018,35-39,21145,297413
Switzerland,2018,40-44,4451,289365
Switzerland,2018,45-49,320,314909
Switzerland,2019,15-19,404,205936
Switzerland,2019,20-24,5388,234345
Switzerland,2019,25-29,20763,280334
Switzerland,2019,30-34,33949,300338
Switzerland,2019,35-39,20794,301305
Switzerland,2019,40-44,4497,290066
Switzerland,2019,45-49,341,308700
Switzerland,2020,15-19,338,204724
Switzerland,2020,20-24,4965,232276
Switzerland,2020,25-29,20575,278198
Switzerland,2020,30-34,34466,303059
Switzerland,2020,35-39,20828,305268
Switzerland,2020,40-44,4380,292439
Switzerland,2020,45-49,328,303337
Switzerland,2021,15-19,268,203802
Switzerland,2021,20-24,4713,231154
Switzerland,2021,25-29,20629,275053
Switzerland,2021,30-34,36670,306776
Switzerland,2021,35-39,22478,308180
Switzerland,2021,40-44,4558,297807
Switzerland,2021,45-49,304,299345
Switzerland,2022,15-19,295,205263
Switzerland,2022,20-24,4288,227664
Switzerland,2022,25-29,18575,272769
Switzerland,2022,30-34,33518,309036
Switzerland,2022,35-39,20687,311120
Switzerland,2022,40-44,4599,302550
Switzerland,2022,45-49,352,296292
Switzerland,2023,15-19,301,207472
Switzerland,2023,20-24,4153,225767
Switzerland,2023,25-29,17605,271287
Switzerland,2023,30-34,32349,312864
Switzerland,2023,35-39,20607,313551
Switzerland,2023,40-44,4584,308881
Switzerland,2023,45-49,363,296221
