country,year,age_group_5,deaths,population
Austria,1998,0-4,498,449613
Austria,1998,10-14,60,467940
Austria,1998,15-19,247,472969
Austria,1998,20-24,332,488822
Austria,1998,25-29,376,626050
Austria,1998,30-34,512,705504
Austria,1998,35-39,764,659444
Austria,1998,40-44,1001,559477
Austria,1998,45-49,1538,511834
Austria,1998,5-9,64,476351
Austria,1998,50-54,2329,467447
Austria,1998,55-59,3689,515082
Austria,1998,60-64,3620,346368
Austria,1998,65-69,6385,359512
Austria,1998,70-74,9115,336139
Austria,1998,75-79,11660,248911
Austria,1998,80-84,11362,140831
Austria,1998,85+,24787,138822
Austria,1999,0-4,439,436925
Austria,1999,10-14,72,467872
Austria,1999,15-19,276,479621
Austria,1999,20-24,330,476834
Austria,1999,25-29,348,594782
Austria,1999,30-34,512,700073
Austria,1999,35-39,806,678409
Austria,1999,40-44,1075,577512
Austria,1999,45-49,1433,506449
Austria,1999,5-9,51,478201
Austria,1999,50-54,2251,475713
Austria,1999,55-59,3554,529015
Austria,1999,60-64,3939,351340
Austria,1999,65-69,6004,352497
Austria,1999,70-74,8963,332169
Austria,1999,75-79,12409,275376
Austria,1999,80-84,10218,126413
Austria,1999,85+,25520,143260
Austria,2000,0-4,455,424501
Austria,2000,10-14,70,469192
Austria,2000,15-19,281,485606
Austria,2000,20-24,330,469045
Austria,2000,25-29,389,568165
Austria,2000,30-34,477,690870
Austria,2000,35-39,717,693847
Austria,2000,40-44,1118,598711
Austria,2000,45-49,1433,508360
Austria,2000,5-9,61,478057
Austria,2000,50-54,2363,480045
Austria,2000,55-59,3333,509411
Austria,2000,60-64,4062,392709
Austria,2000,65-69,5449,344485
Austria,2000,70-74,8496,329268
Austria,2000,75-79,12502,287803
Austria,2000,80-84,10011,125812
Austria,2000,85+,25233,146299
Austria,2001,0-4,441,414486
Austria,2001,10-14,58,472328
Austria,2001,15-19,264,484894
Austria,2001,20-24,296,469927
Austria,2001,25-29,325,546988
Austria,2001,30-34,474,674890
Austria,2001,35-39,707,703438
Austria,2001,40-44,1069,618917
Austria,2001,45-49,1482,517143
Austria,2001,5-9,45,472366
Austria,2001,50-54,2319,504607
Austria,2001,55-59,3064,464539
Austria,2001,60-64,4200,438407
Austria,2001,65-69,5134,334908
Austria,2001,70-74,8120,327615
Austria,2001,75-79,11822,290074
Austria,2001,80-84,10818,142468
Austria,2001,85+,24129,142951
Austria,2002,0-4,381,400978
Austria,2002,10-14,59,478706
Austria,2002,15-19,248,482051
Austria,2002,20-24,305,480997
Austria,2002,25-29,327,528293
Austria,2002,30-34,425,659039
Austria,2002,35-39,700,709063
Austria,2002,40-44,1079,638509
Austria,2002,45-49,1432,538011
Austria,2002,5-9,47,466088
Austria,2002,50-54,2258,511675
Austria,2002,55-59,3000,445121
Austria,2002,60-64,4382,475891
Austria,2002,65-69,4901,329826
Austria,2002,70-74,8130,325955
Austria,2002,75-79,11952,288943
Austria,2002,80-84,12484,166019
Austria,2002,85+,24021,138475
Austria,2003,0-4,433,397513
Austria,2003,10-14,64,484450
Austria,2003,15-19,253,480160
Austria,2003,20-24,335,497932
Austria,2003,25-29,276,514982
Austria,2003,30-34,424,639457
Austria,2003,35-39,670,709762
Austria,2003,40-44,1014,658104
Austria,2003,45-49,1488,555221
Austria,2003,5-9,40,457327
Austria,2003,50-54,2123,503965
Austria,2003,55-59,3031,455192
Austria,2003,60-64,4891,495729
Austria,2003,65-69,4746,325273
Austria,2003,70-74,7975,323305
Austria,2003,75-79,11596,283855
Austria,2003,80-84,14360,188057
Austria,2003,85+,23490,129989
Austria,2004,0-4,403,394885
Austria,2004,10-14,61,487961
Austria,2004,15-19,278,483348
Austria,2004,20-24,331,510800
Austria,2004,25-29,294,509551
Austria,2004,30-34,361,613484
Austria,2004,35-39,638,708122
Austria,2004,40-44,938,679684
Austria,2004,45-49,1449,574473
Austria,2004,5-9,56,446992
Austria,2004,50-54,2040,499651
Austria,2004,55-59,3031,463797
Austria,2004,60-64,4757,508926
Austria,2004,65-69,4837,330776
Austria,2004,70-74,7267,317983
Austria,2004,75-79,10796,281000
Austria,2004,80-84,14961,207665
Austria,2004,85+,21794,123475
Austria,2005,0-4,395,397723.0
Austria,2005,10-14,56,488694.0
Austria,2005,15-19,239,486684.0
Austria,2005,20-24,315,523586.0
Austria,2005,25-29,283,508901.0
Austria,2005,30-34,362,592563.0
Austria,2005,35-39,639,702514.0
Austria,2005,40-44,951,697623.0
Austria,2005,45-49,1437,597301.0
Austria,2005,5-9,56,436616.0
Austria,2005,50-54,2024,502655.0
Austria,2005,55-59,3130,468378.0
Austria,2005,60-64,4362,490176.0
Austria,2005,65-69,5247,370956.0
Austria,2005,70-74,6989,311961.0
Austria,2005,75-79,10760,279609.0
Austria,2005,80-84,15311,217776.0
Austria,2005,85+,22633,127643.0
Austria,2006,0-4,351,398332.0
Austria,2006,10-14,55,485061.0
Austria,2006,15-19,243,491090.0
Austria,2006,20-24,297,527046.0
Austria,2006,25-29,258,516395.0
Austria,2006,30-34,341,576486.0
Austria,2006,35-39,577,690100.0
Austria,2006,40-44,936,710080.0
Austria,2006,45-49,1365,619820.0
Austria,2006,5-9,41,429204.0
Austria,2006,50-54,1928,512697.0
Austria,2006,55-59,3094,492997.0
Austria,2006,60-64,3968,447403.0
Austria,2006,65-69,5634,415057.0
Austria,2006,70-74,6517,304267.0
Austria,2006,75-79,10373,279401.0
Austria,2006,80-84,14760,220463.0
Austria,2006,85+,23557,138399.0
Austria,2007,0-4,335,399333.0
Austria,2007,10-14,49,478825.0
Austria,2007,15-19,224,495572.0
Austria,2007,20-24,300,522338.0
Austria,2007,25-29,248,526912.0
Austria,2007,30-34,322,557616.0
Austria,2007,35-39,528,673492.0
Austria,2007,40-44,922,714962.0
Austria,2007,45-49,1467,638593.0
Austria,2007,5-9,34,417150.0
Austria,2007,50-54,2025,533084.0
Austria,2007,55-59,3024,499273.0
Austria,2007,60-64,3886,427235.0
Austria,2007,65-69,5955,449530.0
Austria,2007,70-74,6172,300226.0
Austria,2007,75-79,10229,277851.0
Austria,2007,80-84,14409,220420.0
Austria,2007,85+,24496,150572.0
Austria,2008,0-4,348,396093.0
Austria,2008,10-14,42,469230.0
Austria,2008,15-19,216,500123.0
Austria,2008,20-24,289,518961.0
Austria,2008,25-29,256,540439.0
Austria,2008,30-34,286,542292.0
Austria,2008,35-39,482,652614.0
Austria,2008,40-44,848,714785.0
Austria,2008,45-49,1435,658017.0
Austria,2008,5-9,31,411887.0
Austria,2008,50-54,2057,550194.0
Austria,2008,55-59,2857,492098.0
Austria,2008,60-64,3966,437230.0
Austria,2008,65-69,6112,468674.0
Austria,2008,70-74,5897,297298.0
Austria,2008,75-79,9921,277306.0
Austria,2008,80-84,14198,218446.0
Austria,2008,85+,25842,162302.0
Austria,2009,0-4,355,396283.0
Austria,2009,10-14,58,457612.0
Austria,2009,15-19,203,501779.0
Austria,2009,20-24,267,520309.0
Austria,2009,25-29,272,549651.0
Austria,2009,30-34,292,533802.0
Austria,2009,35-39,482,624862.0
Austria,2009,40-44,897,712011.0
Austria,2009,45-49,1559,678979.0
Austria,2009,5-9,39,407266.0
Austria,2009,50-54,2178,569393.0
Austria,2009,55-59,2873,488430.0
Austria,2009,60-64,4203,445549.0
Austria,2009,65-69,6299,481195.0
Austria,2009,70-74,6456,303259.0
Austria,2009,75-79,9777,274153.0
Austria,2009,80-84,14176,217499.0
Austria,2009,85+,26995,172971.0
Austria,2010,0-4,367,392985.0
Austria,2010,10-14,40,445249.0
Austria,2010,15-19,181,500713.0
Austria,2010,20-24,306,520502.0
Austria,2010,25-29,265,555486.0
Austria,2010,30-34,295,526825.0
Austria,2010,35-39,484,599525.0
Austria,2010,40-44,825,703584.0
Austria,2010,45-49,1535,695026.0
Austria,2010,5-9,33,406933.0
Austria,2010,50-54,2192,590703.0
Austria,2010,55-59,2794,491070.0
Austria,2010,60-64,4296,449657.0
Austria,2010,65-69,5884,463157.0
Austria,2010,70-74,6958,341276.0
Austria,2010,75-79,9036,269721.0
Austria,2010,80-84,13786,216946.0
Austria,2010,85+,27922,182285.0
Austria,2011,0-4,337,393186
Austria,2011,10-14,35,436195
Austria,2011,15-19,173,495028
Austria,2011,20-24,271,523217
Austria,2011,25-29,268,555080
Austria,2011,30-34,296,529870
Austria,2011,35-39,406,580724
Austria,2011,40-44,787,688686
Austria,2011,45-49,1466,705726
Austria,2011,5-9,36,405025
Austria,2011,50-54,2172,611511
Austria,2011,55-59,2838,500445
Austria,2011,60-64,4341,472872
Austria,2011,65-69,5454,421955
Austria,2011,70-74,7288,382379
Austria,2011,75-79,8679,264395
Austria,2011,80-84,13404,217751
Austria,2011,85+,28228,191119
Austria,2012,0-4,298,393699
Austria,2012,10-14,51,424184
Austria,2012,15-19,154,488368
Austria,2012,20-24,215,529484
Austria,2012,25-29,284,552932
Austria,2012,30-34,274,541738
Austria,2012,35-39,402,562653
Austria,2012,40-44,745,672785
Austria,2012,45-49,1407,710513
Austria,2012,5-9,34,406251
Austria,2012,50-54,2171,630070
Austria,2012,55-59,2817,520503
Austria,2012,60-64,4280,478584
Austria,2012,65-69,5441,402912
Austria,2012,70-74,8311,414709
Austria,2012,75-79,8509,261787
Austria,2012,80-84,13397,217776
Austria,2012,85+,30646,199173
Austria,2013,0-4,299,396879
Austria,2013,10-14,47,418845
Austria,2013,15-19,124,480555
Austria,2013,20-24,219,538665
Austria,2013,25-29,230,552540
Austria,2013,30-34,272,556959
Austria,2013,35-39,393,549234
Austria,2013,40-44,677,653499
Austria,2013,45-49,1413,711980
Austria,2013,5-9,36,403639
Austria,2013,50-54,2177,650630
Austria,2013,55-59,2910,538401
Austria,2013,60-64,4121,472777
Austria,2013,65-69,5543,412527
Austria,2013,70-74,8308,431900
Austria,2013,75-79,8422,260463
Austria,2013,80-84,13217,218667
Austria,2013,85+,31118,203700
Austria,2014,0-4,296,399504
Austria,2014,10-14,42,414793
Austria,2014,15-19,145,470104
Austria,2014,20-24,197,544207
Austria,2014,25-29,235,559979
Austria,2014,30-34,311,570842
Austria,2014,35-39,360,544970
Austria,2014,40-44,716,629373
Austria,2014,45-49,1316,711505
Austria,2014,5-9,38,404547
Austria,2014,50-54,2135,673175
Austria,2014,55-59,2949,558076
Austria,2014,60-64,3997,470053
Austria,2014,65-69,5571,420420
Austria,2014,70-74,8316,443425
Austria,2014,75-79,8333,266641
Austria,2014,80-84,12456,217207
Austria,2014,85+,30839,208965
Austria,2015,0-4,303,406003
Austria,2015,10-14,45,416112
Austria,2015,15-19,126,460918
Austria,2015,20-24,231,549119
Austria,2015,25-29,220,570027
Austria,2015,30-34,282,585480
Austria,2015,35-39,413,545581
Austria,2015,40-44,681,610222
Austria,2015,45-49,1258,707317
Austria,2015,5-9,25,403898
Austria,2015,50-54,2120,691590
Austria,2015,55-59,3042,580836
Austria,2015,60-64,4030,473895
Austria,2015,65-69,5799,424860
Austria,2015,70-74,8132,426876
Austria,2015,75-79,9785,302378
Austria,2015,80-84,12778,214971
Austria,2015,85+,33803,214843
Austria,2016,0-4,319,416123
Austria,2016,10-14,33,419623
Austria,2016,15-19,138,462738
Austria,2016,20-24,197,556773
Austria,2016,25-29,226,587787
Austria,2016,30-34,308,596287
Austria,2016,35-39,369,556815
Austria,2016,40-44,616,598003
Austria,2016,45-49,1202,697343
Austria,2016,5-9,34,411101
Austria,2016,50-54,2016,705366
Austria,2016,55-59,3064,603249
Austria,2016,60-64,3977,484296
Austria,2016,65-69,5932,446948
Austria,2016,70-74,7448,388551
Austria,2016,75-79,10377,339353
Austria,2016,80-84,11810,211412
Austria,2016,85+,32603,218703
Austria,2017,0-4,314,425651
Austria,2017,10-14,40,423450
Austria,2017,15-19,125,453985
Austria,2017,20-24,174,553007
Austria,2017,25-29,245,598504
Austria,2017,30-34,275,598686
Austria,2017,35-39,389,572365
Austria,2017,40-44,589,582792
Austria,2017,45-49,1117,684053
Austria,2017,5-9,26,414639
Austria,2017,50-54,2049,712250
Austria,2017,55-59,3052,622986
Austria,2017,60-64,4009,504980
Austria,2017,65-69,5601,452914
Austria,2017,70-74,7469,370922
Austria,2017,75-79,11070,368181
Austria,2017,80-84,11944,210561
Austria,2017,85+,34782,222939
Austria,2018,0-4,274,432008
Austria,2018,10-14,33,422091
Austria,2018,15-19,120,446497
Austria,2018,20-24,189,543335
Austria,2018,25-29,241,603826
Austria,2018,30-34,304,598813
Austria,2018,35-39,403,588265
Austria,2018,40-44,636,571243
Austria,2018,45-49,1109,666736
Austria,2018,5-9,31,418903
Austria,2018,50-54,1994,715390
Austria,2018,55-59,3249,644612
Austria,2018,60-64,4069,523556
Austria,2018,65-69,5608,448191
Austria,2018,70-74,7555,380051
Austria,2018,75-79,11597,383384
Austria,2018,80-84,11784,210513
Austria,2018,85+,34779,224853
Austria,2019,0-4,315,435133
Austria,2019,10-14,41,423273
Austria,2019,15-19,116,439004
Austria,2019,20-24,185,530763
Austria,2019,25-29,241,603708
Austria,2019,30-34,321,603166
Austria,2019,35-39,396,599958
Austria,2019,40-44,568,566656
Austria,2019,45-49,1092,642560
Austria,2019,5-9,31,420286
Austria,2019,50-54,1870,715583
Austria,2019,55-59,3021,666885
Austria,2019,60-64,4094,543241
Austria,2019,65-69,5502,446045
Austria,2019,70-74,7473,387425
Austria,2019,75-79,11474,392572
Austria,2019,80-84,12027,216579
Austria,2019,85+,34619,225938
Austria,2020,0-4,312,435835
Austria,2020,10-14,38,421998
Austria,2020,15-19,122,437855
Austria,2020,20-24,167,517770
Austria,2020,25-29,196,601402
Austria,2020,30-34,319,607628
Austria,2020,35-39,406,610304
Austria,2020,40-44,615,564441
Austria,2020,45-49,963,622453
Austria,2020,5-9,27,425227
Austria,2020,50-54,1915,711404
Austria,2020,55-59,3225,685485
Austria,2020,60-64,4492,565635
Austria,2020,65-69,5689,450381
Austria,2020,70-74,8284,391654
Austria,2020,75-79,12235,377545
Austria,2020,80-84,14881,247722
Austria,2020,85+,37713,226325
Austria,2021,0-4,280,433755
Austria,2021,10-14,29,423433
Austria,2021,15-19,131,435249
Austria,2021,20-24,195,506733
Austria,2021,25-29,229,595462
Austria,2021,30-34,327,613499
Austria,2021,35-39,456,613986
Austria,2021,40-44,609,571135
Austria,2021,45-49,1043,608247
Austria,2021,5-9,25,428300
Austria,2021,50-54,2012,700665
Austria,2021,55-59,3266,698683
Austria,2021,60-64,4859,587230
Austria,2021,65-69,6159,460658
Austria,2021,70-74,8850,411513
Austria,2021,75-79,11266,342011
Austria,2021,80-84,15924,278245
Austria,2021,85+,36302,223860
Austria,2022,0-4,250,431785
Austria,2022,10-14,46,424628
Austria,2022,15-19,139,439205
Austria,2022,20-24,194,497571
Austria,2022,25-29,249,591572
Austria,2022,30-34,310,621628
Austria,2022,35-39,456,615005
Austria,2022,40-44,620,585126
Austria,2022,45-49,954,592377
Austria,2022,5-9,35,435176
Austria,2022,50-54,1797,686858
Austria,2022,55-59,3193,705784
Austria,2022,60-64,4896,606524
Austria,2022,65-69,6205,479796
Austria,2022,70-74,8338,416222
Austria,2022,75-79,11054,325458
Austria,2022,80-84,17131,300886
Austria,2022,85+,37465,223328
Austria,2023,0-4,254,431473
Austria,2023,10-14,42,435916
Austria,2023,15-19,162,446517
Austria,2023,20-24,188,502389
Austria,2023,25-29,223,592713
Austria,2023,30-34,315,635353
Austria,2023,35-39,466,623286
Austria,2023,40-44,620,607639
Austria,2023,45-49,980,585445
Austria,2023,5-9,32,447655
Austria,2023,50-54,1715,673292
Austria,2023,55-59,3007,711615
Austria,2023,60-64,4741,630776
Austria,2023,65-69,5913,499991
Austria,2023,70-74,8004,413700
Austria,2023,75-79,10840,333298
Austria,2023,80-84,17203,311280
Austria,2023,85+,35055,222434
Belgium,1998,0-4,733,584946
Belgium,1998,10-14,101,594848
Belgium,1998,15-19,314,623403
Belgium,1998,20-24,493,633318
Belgium,1998,25-29,538,725193
Belgium,1998,30-34,679,795337
Belgium,1998,35-39,955,801981
Belgium,1998,40-44,1498,753701
Belgium,1998,45-49,2225,704134
Belgium,1998,5-9,104,627509
Belgium,1998,50-54,3101,630161
Belgium,1998,55-59,3643,511947
Belgium,1998,60-64,5587,527195
Belgium,1998,65-69,9256,527659
Belgium,1998,70-74,13283,459347
Belgium,1998,75-79,16300,326716
Belgium,1998,80-84,15310,187890
Belgium,1998,85+,30463,176979
Belgium,1999,0-4,683,579081
Belgium,1999,10-14,99,599316
Belgium,1999,15-19,316,620367
Belgium,1999,20-24,491,627523
Belgium,1999,25-29,534,713778
Belgium,1999,30-34,664,779035
Belgium,1999,35-39,997,807285
Belgium,1999,40-44,1471,764720
Belgium,1999,45-49,2213,706277
Belgium,1999,5-9,95,626853
Belgium,1999,50-54,3157,655611
Belgium,1999,55-59,3660,509194
Belgium,1999,60-64,5556,527259
Belgium,1999,65-69,8872,524913
Belgium,1999,70-74,12721,458225
Belgium,1999,75-79,17444,360816
Belgium,1999,80-84,14116,171243
Belgium,1999,85+,31815,182256
Belgium,2000,0-4,693,577217
Belgium,2000,10-14,101,606459
Belgium,2000,15-19,331,615179
Belgium,2000,20-24,551,628741
Belgium,2000,25-29,534,698235
Belgium,2000,30-34,707,760906
Belgium,2000,35-39,994,811940
Belgium,2000,40-44,1465,776617
Belgium,2000,45-49,2207,713624
Belgium,2000,5-9,62,621109
Belgium,2000,50-54,3177,673516
Belgium,2000,55-59,3687,514710
Belgium,2000,60-64,5315,525739
Belgium,2000,65-69,8516,521416
Belgium,2000,70-74,12678,457815
Belgium,2000,75-79,17318,379364
Belgium,2000,80-84,14324,170093
Belgium,2000,85+,32243,186405
Belgium,2001,0-4,662,577249
Belgium,2001,10-14,99,617085
Belgium,2001,15-19,316,607134
